event_id,dist_to_river_ord4_m,dist_to_river_ord5_m,dist_to_river_ord6_m
2003,497.36894749726656,497.36894749726656,569.2282193736949
2004,6.153972439001526,41.60912340133256,41.60912340133256
2005,2870.0657076290913,2870.0657076290913,2870.0657076290913
2006,116.89215790406311,116.89215790406311,116.89215790406311
2007,54.46493754103298,54.46493754103298,57.09088359581717
2008,322.7130215566392,322.7130215562446,322.7130215562446
2009,43.015456470826436,43.015456470826436,43.015456470826436
2010,3.6772816126582977,3.6772816126582977,3.6772816126582977
2011,784.9332999395456,784.9332999395456,784.9332999395456
2012,252.5592048157195,252.5592048157195,252.5592048157195
2013,6.208846433314842,38.23272843283251,38.23272843283251
2014,27.5545772489275,27.5545772489275,27.5545772489275
2015,1.2390071970505305,1.2390071970505305,1.2390071970505305
2016,574.1497610186668,585.0653875112591,585.0653875112591
2017,71.39689109333196,71.39689109333196,71.39689109333196
2018,908.7923122199803,908.7923122199803,908.7923122199803
2019,35.31053570008581,35.31053570008581,35.31053570008581
2020,5547.430768508874,5547.430768508874,5547.430768508874
2021,2123.230788603471,2123.230788603471,2123.230788603471
2022,155.69314611429255,155.69314611429255,155.69314611429255
2023,7.151812582446146,7.151812582446146,7.151812582703325
2024,202.4173951711188,202.4173951711188,202.4173951711188
2025,117.39587988903607,117.39587988903607,117.39587988903607
2026,57.48158307029074,57.48158307029074,57.48158307029074
2027,468.7017952704176,468.7017952704176,468.7017952704176
2028,54.121719711130666,126.33946028640474,126.33946028640474
2029,,,
2030,2988.605671822264,2988.605671822264,2988.605671822264
2031,105.44509373908642,105.44509373908642,105.44509373908642
2032,371.90295182060504,371.90295182060504,371.90295182060504
2033,58.62580885127666,58.62580885127666,58.62580885127666
2034,70.1265807557565,70.1265807557565,70.1265807557565
2035,320.965424424308,320.965424424308,320.965424424308
2036,70.1265807557565,70.1265807557565,70.1265807557565
2037,165.5615825240364,872.5702195331393,872.5702195331393
2038,967.9566498895276,967.9566498895276,967.9566498895276
2039,187.78691862299965,187.78691862299965,187.78691862299965
2040,743.7776468471033,1087.0854710024603,1087.0854710024603
2041,508.82251583461533,508.82251583461533,508.82251583461533
2042,25.647784551523426,25.647784551523426,25.647784551523426
2043,427.53899546953585,427.53899546953585,427.53899546953585
2044,100.90428191733504,100.90428191733504,100.90428191733504
2045,20.803864462835683,20.803864462835683,20.803864462835683
2046,123.51399372532843,123.51399372532843,123.51399372532843
2047,62.25615484101942,62.25615484101942,62.25615484101942
2048,5.496526691481279,5.496526691481279,5.496526691481279
2049,,,
2050,109.96955492399736,109.96955492399736,109.96955492399736
2051,45.94022834441236,45.94022834441236,45.94022834441236
2052,88.39844811572742,88.39844811572742,88.39844811572742
2053,952.9641450006634,952.9641450006634,952.9641450006634
2054,21.71813430996769,21.71813430996769,21.71813430996769
2055,1.6952883700741808,1.6952883700741808,30.093279923839397
2056,532.7383651974894,532.7383651974894,532.7383651974894
2057,236.6026634488184,236.6026634488184,236.6026634488184
2058,135.2484836059139,135.2484836059139,784.6478947879114
2059,286.9362767009633,286.9362767009633,286.9362767009633
2060,20.344131812481468,20.344131812481468,20.344131812481468
2061,50.83536983444048,50.83536983444048,50.83536983444048
2062,135.2484836059139,135.2484836059139,784.6478947879114
2063,83.09046284151869,83.09046284151869,83.09046284151869
2064,743.5368951129453,743.5368951129453,743.5368951129453
2065,82.02958395259061,82.02958395259061,82.02958395259061
2066,339.3815017683148,339.3815017683148,339.3815017683148
2067,1638.2773195061327,1638.2773195061327,1638.2773195061327
2068,,,
2069,359.9842129915482,359.9842129915482,359.9842129915482
2070,,,
2071,28.19621707750874,28.19621707750874,28.19621707750874
2072,1300.1719125251466,1300.1719125251466,1300.1719125251466
2073,1669.3049736100497,1669.3049736100497,1669.3049736100497
2074,407.5595487188679,407.5595487188679,407.5595487188679
2075,1.365170671919376,1.365170671919376,1.365170671919376
2076,1300.0935871163401,1300.0935871163401,1300.0935871163401
2077,108.69787442023845,108.69787442023845,108.69787442023845
2078,,,
2079,1328.9806829080258,1328.9806829080258,1328.9806829080258
2080,1417.829181210761,1417.829181210761,1417.829181210761
2081,,,
2082,10.215134686704202,10.215134686704202,10.215134686704202
2083,52.08338402485378,52.08338402485378,52.08338402485378
2084,515.2915502334781,515.2915502334781,515.2915502334781
2085,353.93911118275736,353.93911118275736,353.93911118275736
2086,162.07782574328235,162.07782574328235,162.07782574328235
2087,,,
2088,1479.8913998773698,1479.8913998773698,1479.8913998773698
2089,219.62962795804702,219.62962795804702,219.62962795804702
2090,732.8328780324816,2609.873458519015,2609.873458519015
2091,1320.8483078230668,2521.6013394282663,2521.6013394282663
2092,339.3815017683148,339.3815017683148,339.3815017683148
2093,422.2282665582931,422.2282665582931,422.2282665582931
2094,269.273347368628,269.273347368628,269.273347368628
2095,345.3357930193789,345.3357930193789,345.3357930193789
2096,434.83906807214095,434.83906807214095,434.83906807214095
2097,655.662605806598,655.662605806598,2237.721066095137
2098,108.75188277475655,108.75188277475655,108.75188277475655
2099,152.85600473206696,152.85600473206696,152.85600473206696
2100,174.72718507625927,385.9245894175628,385.9245894175628
2101,552.1093923787115,552.1093923787115,552.1093923787115
2102,529.7491804142942,529.7491804142942,529.7491804142942
2103,240.6897676563365,240.6897676563365,240.6897676563365
2104,2292.334049999807,2292.334049999807,2292.334049999807
2105,168.9910384669991,168.9910384669991,168.9910384669991
2106,253.499249753476,253.499249753476,253.499249753476
2107,499.935822762833,499.935822762833,671.9226303333023
2108,659.1380951218653,659.1380951218653,3464.8028189253414
2109,249.7788619065555,249.7788619065555,249.7788619065555
2110,209.76550034553995,253.83273016654198,253.83273016654198
2111,729.5903340203271,729.5903340203271,729.5903340203271
2112,106.8542440019809,106.8542440019809,106.8542440019809
2113,70.38818607787181,70.38818607787181,70.38818607787181
2114,93.2119077369378,93.2119077369378,93.2119077369378
2115,156.51255649444647,156.51255649444647,156.51255649444647
2116,390.1912880088085,390.1912880088085,390.1912880088085
2117,475.3096646910023,475.3096646910023,475.3096646910023
2118,14.948843606050623,14.948843606050623,14.948843606050623
2119,82.92007484857469,82.92007484857469,82.92007484857469
2120,61.451636624804316,61.451636624804316,61.451636624804316
2121,209.3924098613388,209.3924098613388,209.3924098613388
2122,193.39412293685996,193.39412293685996,193.39412293685996
2123,163.71678409997224,163.71678409997224,163.71678409997224
2124,244.37663816733405,244.37663816733405,244.37663816733405
2125,129.24191317618724,129.24191317618724,129.24191317618724
2126,85.54077136804715,261.03170461862504,261.03170461862504
2127,16.15312475638765,16.15312475638765,16.15312475638765
2128,18.79807773944295,18.79807773944295,18.79807773944295
2129,1620.2723395368,1620.2723395368,1620.2723395368
2130,261.03593469348266,261.03593469348266,261.03593469348266
2131,465.047030315149,535.6662050026849,535.6662050026849
2132,140.44367152221906,140.44367152221906,524.5903987300468
2133,684.4631050536877,684.4631050536877,684.4631050536877
2134,166.488738470663,184.5336300075811,184.5336300075811
2135,155.53896020289096,155.53896020289096,155.53896020289096
2136,655.3318783374477,655.3318783374477,655.3318783374477
2137,366.9346722625075,366.9346722625075,366.9346722625075
2138,253.83273016654198,253.83273016654198,253.83273016654198
